id|showroom_id|product_id|quantity|stock_date|update_date|create_date
87|8|833|6|2018-01-30|2018-01-30 22:23:59|2018-01-30 22:23:59
88|7|25|10|2018-01-19|2018-01-19 23:27:05|2018-01-19 23:27:05
89|6|158|7|2018-01-24|2018-01-24 16:03:23|2018-01-24 16:03:23
90|3|151|11|2018-01-25|2018-01-25 08:23:02|2018-01-25 08:23:02
91|15|357|12|2018-01-03|2018-01-03 00:27:34|2018-01-03 00:27:34
92|6|655|13|2018-01-13|2018-01-13 04:11:07|2018-01-13 04:11:07
93|13|273|11|2018-01-10|2018-01-10 08:36:58|2018-01-10 08:36:58
94|1|583|7|2018-01-16|2018-01-16 00:04:51|2018-01-16 00:04:51
95|12|560|1|2018-01-20|2018-01-20 03:26:37|2018-01-20 03:26:37
96|7|970|12|2018-01-16|2018-01-16 17:13:14|2018-01-16 17:13:14
97|12|947|12|2018-01-25|2018-01-25 00:00:51|2018-01-25 00:00:51
98|9|732|5|2018-01-20|2018-01-20 00:50:30|2018-01-20 00:50:30
99|1|855|6|2018-01-17|2018-01-17 14:42:42|2018-01-17 14:42:42
100|7|484|12|2018-01-01|2018-01-01 15:14:04|2018-01-01 15:14:04
101|3|619|8|2018-01-12|2018-01-12 14:08:35|2018-01-12 14:08:35
102|13|14|14|2018-01-01|2018-01-01 22:37:43|2018-01-01 22:37:43
103|1|144|8|2018-01-11|2018-01-11 22:45:11|2018-01-11 22:45:11
104|9|97|9|2018-01-25|2018-01-25 23:22:16|2018-01-25 23:22:16
105|5|238|11|2018-01-26|2018-01-26 21:59:57|2018-01-26 21:59:57
106|8|218|9|2018-01-27|2018-01-27 15:45:15|2018-01-27 15:45:15
107|6|558|8|2018-01-19|2018-01-19 15:22:05|2018-01-19 15:22:05
108|12|987|12|2018-01-05|2018-01-05 07:01:14|2018-01-05 07:01:14
109|5|902|11|2018-01-13|2018-01-13 08:22:30|2018-01-13 08:22:30
110|15|737|12|2018-01-23|2018-01-23 23:17:06|2018-01-23 23:17:06
111|7|572|14|2018-01-24|2018-01-24 01:21:04|2018-01-24 01:21:04
112|13|395|6|2018-01-15|2018-01-15 10:53:51|2018-01-15 10:53:51
113|15|622|8|2018-01-22|2018-01-22 20:21:01|2018-01-22 20:21:01
114|6|206|3|2018-01-30|2018-01-30 20:12:48|2018-01-30 20:12:48
115|8|980|14|2018-01-17|2018-01-17 20:36:06|2018-01-17 20:36:06
116|15|789|13|2018-01-03|2018-01-03 11:55:35|2018-01-03 11:55:35
117|3|221|8|2018-01-25|2018-01-25 07:41:11|2018-01-25 07:41:11
118|6|344|9|2018-01-25|2018-01-25 02:10:47|2018-01-25 02:10:47
119|7|972|11|2018-01-14|2018-01-14 18:41:50|2018-01-14 18:41:50
120|2|250|13|2018-01-02|2018-01-02 03:27:13|2018-01-02 03:27:13
121|4|777|13|2018-01-24|2018-01-24 10:51:01|2018-01-24 10:51:01
122|8|855|11|2018-01-12|2018-01-12 23:01:47|2018-01-12 23:01:47
123|7|294|9|2018-01-25|2018-01-25 05:11:17|2018-01-25 05:11:17
124|3|356|10|2018-01-15|2018-01-15 03:18:13|2018-01-15 03:18:13
125|9|221|9|2018-01-06|2018-01-06 21:16:08|2018-01-06 21:16:08
126|8|430|9|2018-01-12|2018-01-12 03:17:03|2018-01-12 03:17:03
127|13|802|12|2018-01-25|2018-01-25 17:21:36|2018-01-25 17:21:36
128|12|548|9|2018-01-07|2018-01-07 09:40:47|2018-01-07 09:40:47
129|4|390|10|2018-01-30|2018-01-30 08:23:01|2018-01-30 08:23:01
130|15|812|11|2018-01-07|2018-01-07 22:17:24|2018-01-07 22:17:24
131|6|372|10|2018-01-16|2018-01-16 21:10:04|2018-01-16 21:10:04
132|4|172|16|2018-01-16|2018-01-16 13:57:05|2018-01-16 13:57:05
133|9|301|14|2018-01-10|2018-01-10 21:03:38|2018-01-10 21:03:38
134|4|978|7|2018-01-02|2018-01-02 02:45:51|2018-01-02 02:45:51
135|2|667|12|2018-01-17|2018-01-17 00:00:47|2018-01-17 00:00:47
136|6|667|5|2018-01-01|2018-01-01 11:53:02|2018-01-01 11:53:02
137|3|150|7|2018-01-12|2018-01-12 22:33:39|2018-01-12 22:33:39
138|13|286|7|2018-01-08|2018-01-08 14:38:33|2018-01-08 14:38:33
139|12|765|8|2018-01-02|2018-01-02 21:01:52|2018-01-02 21:01:52
140|9|922|9|2018-01-25|2018-01-25 13:04:18|2018-01-25 13:04:18
141|3|952|15|2018-01-18|2018-01-18 05:09:32|2018-01-18 05:09:32
142|4|154|12|2018-01-05|2018-01-05 12:21:12|2018-01-05 12:21:12
143|5|454|7|2018-01-05|2018-01-05 23:29:13|2018-01-05 23:29:13
144|5|58|9|2018-01-28|2018-01-28 07:19:29|2018-01-28 07:19:29
145|4|872|9|2018-01-02|2018-01-02 03:21:58|2018-01-02 03:21:58
146|14|829|13|2018-01-09|2018-01-09 13:13:21|2018-01-09 13:13:21
147|14|328|12|2018-01-27|2018-01-27 15:06:30|2018-01-27 15:06:30
148|15|14|7|2018-01-30|2018-01-30 23:31:53|2018-01-30 23:31:53
149|3|289|13|2018-01-02|2018-01-02 20:19:06|2018-01-02 20:19:06
150|9|291|11|2018-01-12|2018-01-12 01:11:25|2018-01-12 01:11:25
151|14|187|12|2018-01-19|2018-01-19 21:23:39|2018-01-19 21:23:39
152|5|696|8|2018-01-08|2018-01-08 16:13:10|2018-01-08 16:13:10
153|5|708|11|2018-01-17|2018-01-17 08:28:14|2018-01-17 08:28:14
154|8|182|14|2018-01-15|2018-01-15 19:34:09|2018-01-15 19:34:09
155|11|701|9|2018-01-20|2018-01-20 21:05:43|2018-01-20 21:05:43
156|3|956|15|2018-01-08|2018-01-08 01:52:36|2018-01-08 01:52:36
157|15|228|7|2018-01-04|2018-01-04 00:29:31|2018-01-04 00:29:31
158|14|903|10|2018-01-28|2018-01-28 15:56:30|2018-01-28 15:56:30
159|5|158|10|2018-01-17|2018-01-17 19:07:16|2018-01-17 19:07:16
160|13|205|4|2018-01-05|2018-01-05 05:29:48|2018-01-05 05:29:48
161|12|924|8|2018-01-28|2018-01-28 04:57:13|2018-01-28 04:57:13
162|2|49|7|2018-01-08|2018-01-08 18:41:32|2018-01-08 18:41:32
163|1|401|7|2018-01-29|2018-01-29 08:24:25|2018-01-29 08:24:25
164|5|543|12|2018-01-29|2018-01-29 00:35:54|2018-01-29 00:35:54
165|6|205|14|2018-01-04|2018-01-04 19:30:24|2018-01-04 19:30:24
166|14|98|8|2018-01-18|2018-01-18 06:33:47|2018-01-18 06:33:47
167|5|294|11|2018-01-22|2018-01-22 00:21:15|2018-01-22 00:21:15
168|11|526|13|2018-01-17|2018-01-17 11:59:01|2018-01-17 11:59:01
169|10|165|11|2018-01-08|2018-01-08 11:12:22|2018-01-08 11:12:22
170|1|110|16|2018-01-23|2018-01-23 23:22:31|2018-01-23 23:22:31
171|2|976|11|2018-01-11|2018-01-11 19:38:19|2018-01-11 19:38:19
172|2|7|10|2018-01-16|2018-01-16 16:17:20|2018-01-16 16:17:20
173|13|183|15|2018-01-30|2018-01-30 11:03:09|2018-01-30 11:03:09
174|5|140|13|2018-01-30|2018-01-30 10:08:46|2018-01-30 10:08:46
175|5|308|6|2018-01-18|2018-01-18 19:16:11|2018-01-18 19:16:11
176|2|824|10|2018-01-30|2018-01-30 04:49:20|2018-01-30 04:49:20
177|14|312|14|2018-01-01|2018-01-01 08:01:53|2018-01-01 08:01:53
178|4|224|12|2018-01-01|2018-01-01 10:25:27|2018-01-01 10:25:27
179|12|650|12|2018-01-18|2018-01-18 13:20:58|2018-01-18 13:20:58
180|7|864|8|2018-01-02|2018-01-02 07:47:25|2018-01-02 07:47:25
181|7|401|7|2018-01-29|2018-01-29 21:45:47|2018-01-29 21:45:47
182|3|124|11|2018-01-03|2018-01-03 05:36:14|2018-01-03 05:36:14
183|10|251|7|2018-01-27|2018-01-27 05:08:56|2018-01-27 05:08:56
184|9|726|9|2018-01-12|2018-01-12 10:28:32|2018-01-12 10:28:32
185|9|788|13|2018-01-08|2018-01-08 22:55:19|2018-01-08 22:55:19
186|9|855|10|2018-01-23|2018-01-23 17:13:07|2018-01-23 17:13:07
187|9|773|12|2018-01-14|2018-01-14 17:54:50|2018-01-14 17:54:50
188|3|53|7|2018-01-24|2018-01-24 08:34:33|2018-01-24 08:34:33
189|9|916|10|2018-01-16|2018-01-16 10:36:46|2018-01-16 10:36:46
190|3|209|8|2018-01-15|2018-01-15 21:18:16|2018-01-15 21:18:16
191|11|443|8|2018-01-25|2018-01-25 23:33:08|2018-01-25 23:33:08
192|2|540|11|2018-01-30|2018-01-30 04:09:27|2018-01-30 04:09:27
193|15|965|9|2018-01-16|2018-01-16 04:32:32|2018-01-16 04:32:32
194|13|676|9|2018-01-10|2018-01-10 21:22:00|2018-01-10 21:22:00
195|4|275|5|2018-01-29|2018-01-29 03:32:37|2018-01-29 03:32:37
196|4|914|12|2018-01-21|2018-01-21 23:29:49|2018-01-21 23:29:49
197|3|174|14|2018-01-30|2018-01-30 06:47:57|2018-01-30 06:47:57
198|4|452|14|2018-01-16|2018-01-16 14:37:21|2018-01-16 14:37:21
199|6|876|10|2018-01-01|2018-01-01 21:28:50|2018-01-01 21:28:50
200|15|348|14|2018-01-17|2018-01-17 07:11:47|2018-01-17 07:11:47
201|3|562|3|2018-01-09|2018-01-09 19:58:58|2018-01-09 19:58:58
202|5|32|11|2018-01-19|2018-01-19 12:06:51|2018-01-19 12:06:51
203|3|300|8|2018-01-27|2018-01-27 15:54:53|2018-01-27 15:54:53
204|6|1000|8|2018-01-17|2018-01-17 03:03:33|2018-01-17 03:03:33
205|10|993|10|2018-01-25|2018-01-25 16:13:40|2018-01-25 16:13:40
206|15|173|11|2018-01-02|2018-01-02 18:08:18|2018-01-02 18:08:18
207|7|227|10|2018-01-24|2018-01-24 14:14:05|2018-01-24 14:14:05
208|10|964|10|2018-01-17|2018-01-17 11:09:14|2018-01-17 11:09:14
209|5|467|16|2018-01-08|2018-01-08 03:02:52|2018-01-08 03:02:52
210|11|483|4|2018-01-26|2018-01-26 12:59:11|2018-01-26 12:59:11
211|14|473|9|2018-01-14|2018-01-14 15:55:10|2018-01-14 15:55:10
212|1|831|13|2018-01-14|2018-01-14 04:29:22|2018-01-14 04:29:22
213|6|628|9|2018-01-09|2018-01-09 18:24:55|2018-01-09 18:24:55
214|4|189|7|2018-01-29|2018-01-29 05:39:08|2018-01-29 05:39:08
215|2|939|10|2018-01-10|2018-01-10 02:21:55|2018-01-10 02:21:55
216|4|175|7|2018-01-27|2018-01-27 07:55:22|2018-01-27 07:55:22
217|3|407|12|2018-01-27|2018-01-27 00:22:08|2018-01-27 00:22:08
218|5|476|7|2018-01-13|2018-01-13 22:15:10|2018-01-13 22:15:10
219|1|608|10|2018-01-16|2018-01-16 17:24:56|2018-01-16 17:24:56
220|14|535|14|2018-01-06|2018-01-06 00:52:49|2018-01-06 00:52:49
221|6|747|11|2018-01-16|2018-01-16 15:55:04|2018-01-16 15:55:04
222|15|984|12|2018-01-30|2018-01-30 01:13:26|2018-01-30 01:13:26
223|6|778|11|2018-01-24|2018-01-24 22:54:59|2018-01-24 22:54:59
224|3|229|8|2018-01-12|2018-01-12 16:16:56|2018-01-12 16:16:56
225|8|290|9|2018-01-15|2018-01-15 03:03:00|2018-01-15 03:03:00
226|7|993|8|2018-01-02|2018-01-02 01:26:53|2018-01-02 01:26:53
227|6|85|11|2018-01-07|2018-01-07 06:15:10|2018-01-07 06:15:10
228|13|702|8|2018-01-28|2018-01-28 08:48:06|2018-01-28 08:48:06
229|15|740|12|2018-01-25|2018-01-25 23:57:51|2018-01-25 23:57:51
230|12|339|8|2018-01-25|2018-01-25 10:35:07|2018-01-25 10:35:07
231|3|574|7|2018-01-08|2018-01-08 17:49:01|2018-01-08 17:49:01
232|9|179|4|2018-01-18|2018-01-18 07:03:14|2018-01-18 07:03:14
233|13|536|11|2018-01-07|2018-01-07 10:30:50|2018-01-07 10:30:50
234|9|532|4|2018-01-05|2018-01-05 10:44:13|2018-01-05 10:44:13
235|12|775|8|2018-01-24|2018-01-24 08:54:24|2018-01-24 08:54:24
236|11|920|14|2018-01-11|2018-01-11 03:39:17|2018-01-11 03:39:17
237|14|836|15|2018-01-10|2018-01-10 22:37:37|2018-01-10 22:37:37
238|15|819|13|2018-01-06|2018-01-06 03:19:24|2018-01-06 03:19:24
239|12|181|6|2018-01-19|2018-01-19 07:32:14|2018-01-19 07:32:14
240|8|401|4|2018-01-28|2018-01-28 03:53:48|2018-01-28 03:53:48
241|4|248|12|2018-01-01|2018-01-01 00:55:50|2018-01-01 00:55:50
242|9|642|11|2018-01-17|2018-01-17 13:54:55|2018-01-17 13:54:55
243|7|175|12|2018-01-15|2018-01-15 17:30:54|2018-01-15 17:30:54
244|9|721|10|2018-01-26|2018-01-26 22:36:01|2018-01-26 22:36:01
245|5|813|8|2018-01-07|2018-01-07 01:08:16|2018-01-07 01:08:16
246|4|855|9|2018-01-24|2018-01-24 15:57:27|2018-01-24 15:57:27
247|15|553|11|2018-01-11|2018-01-11 18:36:53|2018-01-11 18:36:53
248|11|481|7|2018-01-17|2018-01-17 11:45:25|2018-01-17 11:45:25
249|2|231|11|2018-01-11|2018-01-11 20:07:57|2018-01-11 20:07:57
250|7|124|16|2018-01-04|2018-01-04 01:35:37|2018-01-04 01:35:37
251|7|239|8|2018-01-25|2018-01-25 20:30:35|2018-01-25 20:30:35
252|14|811|15|2018-01-24|2018-01-24 16:44:29|2018-01-24 16:44:29
253|4|806|8|2018-01-01|2018-01-01 13:29:13|2018-01-01 13:29:13
254|10|712|10|2018-01-17|2018-01-17 23:25:28|2018-01-17 23:25:28
255|7|462|10|2018-01-14|2018-01-14 22:18:31|2018-01-14 22:18:31
256|12|287|12|2018-01-02|2018-01-02 07:45:48|2018-01-02 07:45:48
257|5|43|10|2018-01-26|2018-01-26 00:43:46|2018-01-26 00:43:46
258|12|271|12|2018-01-16|2018-01-16 15:46:28|2018-01-16 15:46:28
259|5|532|8|2018-01-20|2018-01-20 13:08:53|2018-01-20 13:08:53
260|2|875|12|2018-01-02|2018-01-02 23:54:47|2018-01-02 23:54:47
261|10|433|8|2018-01-17|2018-01-17 16:48:42|2018-01-17 16:48:42
262|12|80|13|2018-01-15|2018-01-15 01:05:21|2018-01-15 01:05:21
263|3|148|12|2018-01-13|2018-01-13 14:09:55|2018-01-13 14:09:55
264|8|377|12|2018-01-08|2018-01-08 05:35:44|2018-01-08 05:35:44
265|13|865|11|2018-01-19|2018-01-19 21:49:12|2018-01-19 21:49:12
266|5|194|13|2018-01-01|2018-01-01 10:51:03|2018-01-01 10:51:03
267|6|523|12|2018-01-09|2018-01-09 07:02:11|2018-01-09 07:02:11
268|15|8|7|2018-01-13|2018-01-13 08:41:09|2018-01-13 08:41:09
269|10|528|17|2018-01-16|2018-01-16 01:51:50|2018-01-16 01:51:50
270|8|573|10|2018-01-16|2018-01-16 07:29:30|2018-01-16 07:29:30
271|10|953|10|2018-01-04|2018-01-04 08:45:32|2018-01-04 08:45:32
272|6|816|7|2018-01-23|2018-01-23 11:31:34|2018-01-23 11:31:34
273|8|39|7|2018-01-03|2018-01-03 16:07:56|2018-01-03 16:07:56
274|11|290|8|2018-01-04|2018-01-04 19:27:57|2018-01-04 19:27:57
275|5|163|3|2018-01-05|2018-01-05 03:13:51|2018-01-05 03:13:51
276|13|34|7|2018-01-29|2018-01-29 19:23:36|2018-01-29 19:23:36
277|11|799|10|2018-01-23|2018-01-23 15:11:43|2018-01-23 15:11:43
278|11|74|15|2018-01-13|2018-01-13 04:04:11|2018-01-13 04:04:11
279|2|89|11|2018-01-12|2018-01-12 21:17:20|2018-01-12 21:17:20
280|9|715|7|2018-01-03|2018-01-03 23:31:41|2018-01-03 23:31:41
281|9|73|8|2018-01-05|2018-01-05 18:02:16|2018-01-05 18:02:16
282|3|92|15|2018-01-09|2018-01-09 11:23:06|2018-01-09 11:23:06
283|13|790|11|2018-01-14|2018-01-14 08:53:25|2018-01-14 08:53:25
284|3|155|10|2018-01-10|2018-01-10 16:15:42|2018-01-10 16:15:42
285|2|122|10|2018-01-17|2018-01-17 20:24:17|2018-01-17 20:24:17
286|6|591|10|2018-01-19|2018-01-19 21:34:56|2018-01-19 21:34:56
287|8|65|6|2018-01-27|2018-01-27 14:19:39|2018-01-27 14:19:39
288|12|879|14|2018-01-09|2018-01-09 12:19:25|2018-01-09 12:19:25
289|15|314|5|2018-01-21|2018-01-21 00:10:09|2018-01-21 00:10:09
290|15|720|12|2018-01-11|2018-01-11 18:49:08|2018-01-11 18:49:08
291|6|416|3|2018-01-17|2018-01-17 07:14:36|2018-01-17 07:14:36
292|1|457|14|2018-01-27|2018-01-27 11:16:06|2018-01-27 11:16:06
293|7|715|14|2018-01-06|2018-01-06 10:44:47|2018-01-06 10:44:47
294|12|22|6|2018-01-28|2018-01-28 14:43:07|2018-01-28 14:43:07
295|8|444|14|2018-01-05|2018-01-05 21:20:39|2018-01-05 21:20:39
296|7|393|11|2018-01-25|2018-01-25 00:43:01|2018-01-25 00:43:01
297|13|742|3|2018-01-11|2018-01-11 07:03:23|2018-01-11 07:03:23
298|10|247|8|2018-01-01|2018-01-01 15:50:21|2018-01-01 15:50:21
299|8|199|16|2018-01-14|2018-01-14 08:57:43|2018-01-14 08:57:43
300|14|120|12|2018-01-12|2018-01-12 13:28:14|2018-01-12 13:28:14
301|10|41|12|2018-01-05|2018-01-05 01:32:36|2018-01-05 01:32:36
302|7|661|10|2018-01-05|2018-01-05 07:37:46|2018-01-05 07:37:46
303|12|948|11|2018-01-01|2018-01-01 04:38:51|2018-01-01 04:38:51
304|11|121|11|2018-01-01|2018-01-01 20:07:07|2018-01-01 20:07:07
305|4|721|3|2018-01-25|2018-01-25 22:11:55|2018-01-25 22:11:55
306|2|181|12|2018-01-13|2018-01-13 10:40:21|2018-01-13 10:40:21
307|7|312|9|2018-01-27|2018-01-27 17:45:52|2018-01-27 17:45:52
308|12|798|9|2018-01-30|2018-01-30 01:59:39|2018-01-30 01:59:39
309|11|404|13|2018-01-12|2018-01-12 05:28:53|2018-01-12 05:28:53
310|14|280|13|2018-01-10|2018-01-10 14:08:35|2018-01-10 14:08:35
311|15|853|12|2018-01-19|2018-01-19 03:46:42|2018-01-19 03:46:42
312|12|735|14|2018-01-08|2018-01-08 19:45:15|2018-01-08 19:45:15
313|7|512|9|2018-01-12|2018-01-12 19:50:13|2018-01-12 19:50:13
314|5|337|15|2018-01-08|2018-01-08 05:54:55|2018-01-08 05:54:55
315|2|57|6|2018-01-28|2018-01-28 14:54:37|2018-01-28 14:54:37
316|3|48|10|2018-01-30|2018-01-30 05:40:06|2018-01-30 05:40:06
317|11|547|10|2018-01-03|2018-01-03 21:16:01|2018-01-03 21:16:01
318|4|807|8|2018-01-08|2018-01-08 18:37:34|2018-01-08 18:37:34
319|7|630|13|2018-01-30|2018-01-30 07:37:32|2018-01-30 07:37:32
320|5|524|15|2018-01-06|2018-01-06 04:12:06|2018-01-06 04:12:06
321|3|691|9|2018-01-18|2018-01-18 04:26:48|2018-01-18 04:26:48
322|5|706|12|2018-01-04|2018-01-04 12:07:36|2018-01-04 12:07:36
323|13|475|10|2018-01-12|2018-01-12 11:02:42|2018-01-12 11:02:42
324|8|233|16|2018-01-20|2018-01-20 00:29:45|2018-01-20 00:29:45
325|7|300|12|2018-01-30|2018-01-30 22:22:49|2018-01-30 22:22:49
326|6|343|11|2018-01-03|2018-01-03 08:19:08|2018-01-03 08:19:08
327|14|515|14|2018-01-27|2018-01-27 18:11:48|2018-01-27 18:11:48
328|11|268|6|2018-01-24|2018-01-24 21:38:51|2018-01-24 21:38:51
329|13|766|14|2018-01-09|2018-01-09 19:21:19|2018-01-09 19:21:19
330|6|414|9|2018-01-03|2018-01-03 00:22:56|2018-01-03 00:22:56
331|7|985|6|2018-01-09|2018-01-09 03:55:08|2018-01-09 03:55:08
332|15|866|5|2018-01-30|2018-01-30 08:55:37|2018-01-30 08:55:37
333|1|942|9|2018-01-09|2018-01-09 15:37:52|2018-01-09 15:37:52
334|10|988|8|2018-01-11|2018-01-11 19:54:45|2018-01-11 19:54:45
335|15|3|4|2018-01-10|2018-01-10 10:41:57|2018-01-10 10:41:57
336|2|541|8|2018-01-20|2018-01-20 09:06:12|2018-01-20 09:06:12
337|10|607|8|2018-01-26|2018-01-26 08:24:03|2018-01-26 08:24:03
338|3|784|10|2018-01-27|2018-01-27 11:16:27|2018-01-27 11:16:27
339|2|281|6|2018-01-24|2018-01-24 15:08:23|2018-01-24 15:08:23
340|9|82|11|2018-01-16|2018-01-16 04:25:37|2018-01-16 04:25:37
