id|code|category|make|model|year|color|price|currency|update_date|create_date
47|72036-227|Medium|Dodge|Viper|2009|Khaki|256961|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
48|54868-5142|Medium|Lotus|Esprit|1998|Puce|238407|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
49|0378-3547|High|Toyota|Highlander|2009|Fuscia|242553|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
50|30698-453|High|Buick|Park Avenue|1991|Yellow|228442|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
51|44911-0117|Low|Plymouth|Laser|1990|Fuscia|214596|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
52|11822-0368|High|Jaguar|XF|2009|Purple|241761|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
53|63629-4148|Low|Lotus|Evora|2010|Green|273662|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
54|51655-685|High|Honda|Accord|2009|Purple|227345|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
55|65044-0779|Low|Cadillac|STS|2006|Fuscia|254978|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
56|43596-0013|Low|Dodge|Ram 3500|2007|Crimson|202718|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
57|76255-1001|High|Acura|TL|2007|Purple|225612|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
58|52125-688|Low|Volvo|XC90|2006|Goldenrod|252556|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
59|0407-1414|Medium|Aston Martin|Vanquish S|2005|Aquamarine|260292|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
60|49349-859|Medium|Lexus|LS|2007|Red|257369|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
61|60505-2522|Low|GMC|Canyon|2004|Orange|254574|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
62|59779-257|High|Honda|S2000|2004|Yellow|214730|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
63|0268-6682|High|Dodge|Durango|2011|Puce|190305|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
64|55154-5715|Low|Land Rover|Discovery|1996|Turquoise|278775|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
65|68196-873|Low|Ford|Mustang|1969|Pink|241070|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
66|64117-985|Medium|Ford|ZX2|2001|Fuscia|239487|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
67|55154-9418|High|Ford|F-Series|1990|Maroon|244047|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
68|68016-117|Low|Mitsubishi|Lancer|2001|Violet|259834|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
69|75848-0200|Medium|Porsche|911|2001|Khaki|285769|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
70|60681-5302|High|Saab|9-3|1999|Mauv|235444|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
71|13533-800|High|Mazda|Mazdaspeed 3|2009|Violet|216265|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
72|21695-814|Medium|Land Rover|LR2|2011|Fuscia|254299|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
73|10893-452|Low|Volvo|XC90|2012|Mauv|252763|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
74|60505-2533|High|Eagle|Vision|1994|Purple|244897|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
75|59535-5011|Medium|Ford|F350|1995|Crimson|243263|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
76|63044-030|Medium|Mercedes-Benz|E-Class|1992|Turquoise|239044|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
77|49873-082|Medium|Suzuki|Daewoo Lacetti|2008|Turquoise|273950|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
78|54868-6239|Medium|Kia|Sorento|2008|Pink|214560|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
79|68645-470|High|Buick|LeSabre|1989|Teal|255961|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
80|0126-0072|High|Kia|Optima|2006|Puce|262596|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
81|58232-0225|Low|Ford|Econoline E250|1993|Red|250821|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
82|52125-229|High|Dodge|Grand Caravan|1995|Goldenrod|294720|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
83|65862-580|Low|Toyota|4Runner|2009|Yellow|252921|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
84|51991-820|High|Volkswagen|Beetle|1965|Purple|228106|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
85|52904-455|Low|Chevrolet|Camaro|1974|Mauv|289717|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
86|57344-159|High|Ford|F350|1993|Indigo|232139|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
87|64058-123|Low|Kia|Sedona|2008|Pink|243169|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
88|65841-774|Medium|Ford|Escape|2004|Mauv|233797|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
89|64942-1345|Low|Hyundai|Elantra|2000|Red|244678|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
90|13537-331|High|Mercury|Cougar|1993|Mauv|258728|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
91|64997-400|Low|Audi|90|1989|Purple|243391|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
92|41190-094|Low|Hyundai|Accent|2003|Puce|282284|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
93|42783-601|High|Mitsubishi|Endeavor|2011|Pink|228216|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
94|48951-2042|High|Plymouth|Prowler|1997|Red|261131|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
95|58177-683|Medium|Chevrolet|Tahoe|2007|Aquamarine|258092|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
96|55648-711|High|Land Rover|Range Rover|2006|Crimson|251425|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
97|11410-401|High|Oldsmobile|Intrigue|2001|Turquoise|226778|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
98|0363-0458|Low|Chrysler|Town & Country|1998|Aquamarine|245173|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
99|53808-0671|Medium|Infiniti|EX|2012|Purple|240617|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
100|59762-1735|High|Land Rover|Defender 110|1993|Violet|253317|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
101|49349-271|High|Toyota|MR2|2004|Puce|244943|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
102|10096-0181|Medium|Ford|Thunderbird|1990|Indigo|241404|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
103|49852-174|High|Volvo|V40|2003|Red|263530|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
104|42549-646|Medium|Mitsubishi|Challenger|2001|Mauv|267694|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
105|68382-028|High|Volkswagen|Jetta|1990|Khaki|236355|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
106|0093-2056|Medium|Mercedes-Benz|SL-Class|2000|Aquamarine|274013|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
107|41190-165|High|Suzuki|Grand Vitara|2000|Pink|276669|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
108|55154-2889|Medium|Lamborghini|Aventador|2012|Teal|221208|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
109|48417-750|Low|Lincoln|Blackwood|2002|Fuscia|251047|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
110|49527-571|High|Isuzu|Hombre Space|1997|Pink|250052|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
111|44924-118|Medium|Lamborghini|Gallardo|2009|Maroon|252536|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
112|62032-510|Low|Mitsubishi|Outlander|2012|Blue|291234|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
113|59779-050|Medium|Chevrolet|Silverado 3500|2009|Khaki|266412|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
114|67618-200|Medium|Mazda|B-Series Plus|1997|Red|301937|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
115|0395-2300|Low|Chevrolet|S10|1997|Purple|233431|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
116|0143-9963|Low|Chevrolet|Cavalier|1999|Puce|248482|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
117|0603-1394|High|Honda|Insight|2005|Maroon|279726|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
118|37000-195|Medium|Isuzu|Oasis|1996|Red|251178|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
119|21695-013|Medium|Toyota|Camry Hybrid|2008|Yellow|283099|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
120|63739-468|Medium|Ford|Expedition|2001|Turquoise|234198|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
121|36987-2510|Medium|Oldsmobile|88|1993|Yellow|245723|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
122|50810-2000|Low|Pontiac|Sunbird|1988|Violet|238955|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
123|60429-297|Medium|BMW|550|2006|Aquamarine|223116|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
124|49967-213|Low|Chevrolet|Suburban 2500|1997|Violet|246426|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
125|11822-0843|High|BMW|3 Series|2010|Red|281429|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
126|49681-010|Medium|GMC|Sierra 2500|2001|Puce|262210|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
127|24385-362|Low|Cadillac|Eldorado|2001|Red|263011|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
128|15127-833|High|Chevrolet|Astro|1993|Mauv|232454|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
129|0054-0176|Low|Infiniti|G25|2012|Aquamarine|253473|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
130|63323-026|Low|Cadillac|SRX|2008|Blue|211996|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
131|0268-0847|Medium|Mercedes-Benz|S-Class|2010|Violet|291720|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
132|49035-202|Low|Mercedes-Benz|SL-Class|1991|Purple|237794|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
133|0024-2791|High|Mazda|Familia|1985|Maroon|263103|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
134|49288-0240|High|Chevrolet|G-Series G20|1994|Puce|256210|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
135|65044-5076|Low|Audi|TT|2006|Khaki|225346|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
136|60505-3255|Low|Dodge|Ram 1500 Club|1997|Purple|274332|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
137|55154-9434|Medium|GMC|Savana 1500|2008|Khaki|213326|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
138|63323-355|High|Hyundai|Sonata|1999|Pink|245309|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
139|0187-0651|Medium|Mazda|Mazdaspeed 3|2010|Goldenrod|227801|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
140|58232-4010|Low|Spyker|C8 Spyder Wide Body|2004|Yellow|256531|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
141|10812-408|Low|BMW|325|2005|Aquamarine|275127|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
142|36987-3319|Medium|GMC|Envoy|2004|Turquoise|227943|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
143|0472-0166|High|Dodge|Sprinter|2009|Teal|279418|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
144|55154-1603|Medium|Mercury|Mariner|2005|Khaki|213190|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
145|36987-2318|Low|Dodge|Durango|2002|Fuscia|257056|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
146|49035-173|High|Plymouth|Prowler|1997|Fuscia|190891|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
147|11523-7141|Low|Ford|Club Wagon|1997|Khaki|257689|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
148|61919-291|High|Jeep|Wrangler|2011|Yellow|261899|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
149|0280-1126|Low|Ford|F250|2008|Yellow|263313|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
150|55312-014|Medium|Chevrolet|2500|1998|Maroon|260431|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
151|54868-4575|Low|Ford|F350|1994|Violet|246361|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
152|43269-820|Medium|Chrysler|New Yorker|1995|Aquamarine|239194|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
153|49514-076|High|Mazda|MX-5|1993|Crimson|267862|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
154|0173-0600|Medium|Lexus|LX|1996|Yellow|269903|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
155|48951-1117|Low|Mitsubishi|Lancer Evolution|2006|Fuscia|248089|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
156|33342-121|High|Mercedes-Benz|E-Class|2011|Teal|266539|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
157|0603-2128|Low|Mazda|MX-3|1994|Teal|236448|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
158|41250-202|Medium|Maybach|Landaulet|2011|Green|236596|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
159|53113-217|Low|Ford|EXP|1988|Khaki|249228|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
160|0268-6121|Low|Ford|E150|1984|Violet|240640|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
161|52125-461|High|Subaru|Outback|2000|Blue|248602|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
162|49349-895|Low|Toyota|TundraMax|2012|Khaki|232950|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
163|0603-2130|Medium|Nissan|240SX|1997|Red|243325|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
164|0378-1811|Low|Toyota|Avalon|2009|Turquoise|245436|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
165|48871-000|High|Toyota|Xtra|1993|Khaki|240226|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
166|0378-4041|High|Toyota|4Runner|1998|Indigo|255938|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
167|55154-6666|High|Honda|Civic|1997|Crimson|255212|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
168|24236-012|Low|Lexus|SC|2000|Mauv|228762|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
169|0259-2102|Low|Dodge|Challenger|2010|Maroon|263018|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
170|89156-000|High|BMW|645|2005|Fuscia|240931|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
171|43275-170|Low|Ford|Thunderbird|2006|Purple|231895|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
172|36987-3335|Low|Toyota|Avalon|2004|Turquoise|294598|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
173|0019-9120|High|Lexus|GS|2000|Goldenrod|265421|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
174|52533-080|Medium|Isuzu|Rodeo|2002|Blue|260412|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
175|13537-007|Medium|Jaguar|X-Type|2006|Turquoise|221574|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
176|29784-191|Low|Plymouth|Breeze|1996|Goldenrod|274380|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
177|64990-610|Low|Toyota|Camry|2005|Green|232673|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
178|68703-114|Medium|Chevrolet|Silverado 2500|2007|Goldenrod|277692|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
179|0409-2287|High|Mercedes-Benz|SL-Class|1995|Khaki|271771|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
180|14783-033|High|Mazda|B-Series|1994|Turquoise|272408|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
181|0113-0544|Low|Chevrolet|Avalanche 2500|2002|Orange|222794|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
182|0179-0036|Medium|Toyota|RAV4|2009|Orange|244455|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
183|0363-9320|High|Lotus|Elan|1991|Blue|256591|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
184|24478-200|Medium|Lexus|RX|2007|Maroon|245793|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
185|49349-663|Low|Jeep|Wrangler|1995|Green|277563|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
186|42254-218|High|Pontiac|Bonneville|1998|Fuscia|254875|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
187|0703-8560|Low|Dodge|Charger|2009|Orange|258389|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
188|64117-131|Low|Mitsubishi|Galant|1997|Pink|228342|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
189|37000-355|High|Land Rover|Discovery|2000|Yellow|301690|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
190|60429-355|Low|Toyota|Camry|2008|Green|256463|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
191|49643-391|Low|Ford|F250|1995|Maroon|251891|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
192|23155-218|Medium|Mazda|Familia|1992|Aquamarine|229422|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
193|0179-0015|Low|Buick|Riviera|1987|Green|230678|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
194|0469-0677|Low|Toyota|Yaris|2008|Puce|254496|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
195|0409-7076|Low|Audi|TT|2001|Indigo|211877|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
196|63629-2825|Medium|GMC|Yukon XL 1500|2011|Mauv|242967|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
197|0703-2812|Medium|Buick|Skyhawk|1985|Mauv|277679|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
198|68957-1092|High|Dodge|Dakota Club|2003|Maroon|232093|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
199|0185-0118|Low|Audi|A8|2001|Crimson|256149|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
200|0378-3502|High|Nissan|240SX|1993|Indigo|267975|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
201|63941-261|High|Plymouth|Neon|1996|Turquoise|228175|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
202|37000-839|High|Kia|Sorento|2008|Teal|265929|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
203|0591-2788|High|Daihatsu|Rocky|1992|Khaki|278718|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
204|43498-300|Medium|Toyota|Highlander|2011|Fuscia|254403|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
205|57955-5129|Low|Mercedes-Benz|W126|1983|Blue|228198|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
206|24909-120|Medium|Audi|S4|2001|Khaki|258287|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
207|63187-148|Low|Pontiac|Sunfire|2005|Khaki|261792|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
208|60681-2306|Low|Ford|Ranger|2005|Fuscia|229429|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
209|35192-008|Low|Chrysler|300M|2002|Puce|261928|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
210|68016-187|High|Pontiac|Gemini|1986|Violet|258254|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
211|35356-389|Low|Studebaker|Avanti|1963|Red|254281|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
212|49288-0143|Medium|Infiniti|Q|1999|Orange|256455|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
213|41520-113|High|Buick|Park Avenue|1992|Teal|267048|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
214|0065-0333|High|Mazda|323|1994|Teal|233770|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
215|55714-2263|High|Mercedes-Benz|SL-Class|1987|Blue|226571|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
216|59088-962|High|Mazda|MX-5|2007|Green|236283|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
217|57664-655|High|Volkswagen|Eos|2009|Violet|252422|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
218|50021-304|Medium|Infiniti|G35|2004|Khaki|247190|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
219|0054-0119|Low|Ford|E250|2009|Pink|253652|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
220|65923-006|High|Mercury|Sable|2000|Crimson|258227|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
221|50964-020|Medium|Chevrolet|G-Series 2500|1996|Maroon|219561|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
222|36800-223|Medium|Kia|Sportage|2007|Green|253672|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
223|76245-217|Low|Mercury|Tracer|1989|Green|241838|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
224|49348-509|Medium|Chevrolet|Express 1500|2010|Turquoise|245441|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
225|53329-161|Medium|Mitsubishi|Tredia|1984|Aquamarine|229644|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
226|63739-457|Low|Toyota|Tundra|2005|Crimson|276660|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
227|16729-118|Medium|Ford|E-Series|1985|Puce|274557|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
228|55910-014|High|Mitsubishi|L300|1987|Indigo|303435|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
229|59779-346|Low|Ford|F250|2008|Green|274588|USD|2017-12-31 00:00:00|2017-12-31 00:00:00
